Internal Edit,Agency,Program Model,Division,Site Name,Address,Provider,Expertise 1,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux,website,wic accepted,language
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,"American Indian Center, Inc.",1630 W WILSON AVE,,Emergency Food Assistance,1630,W,WILSON,AVE,,Chicago,IL,60640,773 2755871,12,47,UPTOWN,3,1164465.118,1930651.529,41.9653259,-87.6706825,"(41.9653259, -87.6706825)",15,31,22616,559,18,13,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Ailbe Men's Ministry,9047 S HARPER AVE,,Emergency Food Assistance,9047,S,HARPER,AVE,,Chicago,IL,60619,773 2212056,,8,CALUMET HEIGHTS,48,1188071.825,1845094.854,41.7300206,-87.5866226,"(41.7300206, -87.5866226)",61,44,21546,491,35,9,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Visitation Parish Food Pantry,843 W GARFIELD BLVD,,Emergency Food Assistance,843,W,GARFIELD,BLVD,,Chicago,IL,60621,773 8463570,,20,ENGLEWOOD,68,1171437.577,1868198.992,41.7938011,-87.6468831,"(41.7938011, -87.6468831)",11,66,21559,113,4,53,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Ignatius Parish,6559 N GLENWOOD AVE,,Emergency Food Assistance,6559,N,GLENWOOD,AVE,,Chicago,IL,60626,773 7645936,14,49,ROGERS PARK,1,1165777.119,1943946.54,42.0017799,-87.6654775,"(42.0017799, -87.6654775)",9,10,21853,48,5,46,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Trinity Resurrection United,9046 S MACKINAW AVE,,Emergency Food Assistance,9046,S,MACKINAW,AVE,,Chicago,IL,60617,773 7689645,,10,SOUTH CHICAGO,46,1199962.811,1845397.577,41.73056,-87.5430531,"(41.73056, -87.5430531)",25,42,21202,175,47,47,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Blessed Sacrament Church,2153 S MILLARD AVE,,Emergency Food Assistance,2153,S,MILLARD,AVE,,Chicago,IL,60623,773 2774613,,24,NORTH LAWNDALE,29,1152410.887,1889424.874,41.8524435,-87.7160941,"(41.8524435, -87.7160941)",57,30,21569,157,14,36,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Faith Tabernacle Church,8210 S CORNELL AVE,,Emergency Food Assistance,8210,S,CORNELL,AVE,,Chicago,IL,60617,7739786000,,8,AVALON PARK,45,1188654.565,1850802.203,41.7456682,-87.5843059,"(41.7456682, -87.5843059)",25,41,21202,431,35,9,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Hope Food Pantry,5912 W IOWA ST,,Emergency Food Assistance,5912,W,IOWA,ST,,Chicago,IL,60651,773 2617672,,29,AUSTIN,25,1136815.76,1905435.857,41.8966732,-87.77295,"(41.8966732, -87.77295)",5,26,4299,671,7,52,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,"NTO-OTONG Association USA, Inc",1809 W 51ST ST,,Emergency Food Assistance,1809,W,51ST,ST,,Chicago,IL,60609,773 2535063,,16,NEW CITY,61,1165094.434,1870831.916,41.8011628,-87.6700686,"(41.8011628, -87.6700686)",37,59,14924,767,2,19,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Cornerstone Community Outreach,4626 N CLIFTON AVE,,Emergency Food Assistance,4626,N,CLIFTON,AVE,,Chicago,IL,60640,7732718163,25,46,UPTOWN,3,1167636.915,1930977.698,41.9661531,-87.6590112,"(41.9661531, -87.6590112)",15,31,22616,241,39,37,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Fraternite Notre Dame,502 N CENTRAL AVE,,Emergency Food Assistance,502,N,CENTRAL,AVE,,Chicago,IL,60644,773 2610101,,29,AUSTIN,25,1138906.598,1902811.448,41.8894337,-87.7653344,"(41.8894337, -87.7653344)",32,26,22216,672,7,52,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Chatham-Avalon Ministries,8601 S STATE ST,,Emergency Food Assistance,8601,S,STATE,ST,,Chicago,IL,60619,773 7238579,,6,CHATHAM,44,1177832.811,1847970.728,41.73815,-87.6240441,"(41.73815, -87.6240441)",61,40,21546,406,32,31,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Mary of The Lake Comm. Ctr,4220 N SHERIDAN RD,,Emergency Food Assistance,4220,N,SHERIDAN,RD,,Chicago,IL,60613,773 5258610,,46,UPTOWN,3,1168797.006,1928398.508,41.9590505,-87.6548208,"(41.9590505, -87.6548208)",53,31,21186,577,39,37,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,New Hope United Methodist,7115 W HOOD AVE,,Emergency Food Assistance,7115,W,HOOD,AVE,,Chicago,IL,60631,773 7751215,,41,NORWOOD PARK,10,1128033.748,1940196.919,41.9922145,-87.8044177,"(41.9922145, -87.8044177)",17,36,22243,733,29,34,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Irving Park Community F. P.,3801 N KEELER AVE,,Emergency Food Assistance,3801,N,KEELER,AVE,,Chicago,IL,60641,773 2836296,,45,IRVING PARK,16,1147767.636,1924966.987,41.9500651,-87.7322223,"(41.9500651, -87.7322223)",21,16,22618,295,50,25,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Maple Morgan Park Food Pantry,11030 S LONGWOOD DR,,Emergency Food Assistance,11030,S,LONGWOOD,DR,,Chicago,IL,60643,773 2393013,,19,MORGAN PARK,75,1164953.54,1831569.239,41.6934233,-87.6716925,"(41.6934233, -87.6716925)",13,74,22212,380,42,33,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Whole Fold Ministries,956-58 W 103RD ST,,Emergency Food Assistance,,W,103RD,ST,,Chicago,IL,60643,773 4457600,313,34,WASHINGTON HEIGHTS,73,1171507.349,1836562.475,41.7069848,-87.6475519,"(41.7069848, -87.6475519)",13,72,22212,594,22,45,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Pine Avenue United Church,1015 N PINE AVE,,Emergency Food Assistance,1015,N,PINE,AVE,,Chicago,IL,60651,773 2874779,,37,AUSTIN,25,1139364.932,1906302.079,41.8990041,-87.7635661,"(41.8990041, -87.7635661)",5,26,4299,562,45,4,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. John UC Food Pantry,2442 W MOFFAT ST,,Emergency Food Assistance,2442,W,MOFFAT,ST,,Chicago,IL,60647,773 7724161,,1,LOGAN SQUARE,22,1159606.18,1912256.597,41.9149508,-87.689056,"(41.9149508, -87.689056)",1,23,22535,180,41,24,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Mt. Sinai MBC Food Pantry,2841 W WASHINGTON BLVD,,Emergency Food Assistance,2841,W,WASHINGTON,BLVD,,Chicago,IL,60612,773 8268099,21,27,EAST GARFIELD PARK,27,1157251.837,1900511.636,41.8827698,-87.6980252,"(41.8827698, -87.6980252)",28,28,21184,51,46,48,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Beautiful Zion Baptist Church,1406 W 64TH ST,,Emergency Food Assistance,1406,W,64TH,ST,,Chicago,IL,60636,773 7787271,,16,WEST ENGLEWOOD,67,1168008.73,1862350.969,41.7778279,-87.6596245,"(41.7778279, -87.6596245)",23,65,22257,279,2,19,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Elijah's Pantry,2649 N FRANCISCO AVE,,Emergency Food Assistance,2649,N,FRANCISCO,AVE,,Chicago,IL,60647,773 7722045,,32,LOGAN SQUARE,22,1156615.411,1917762.804,41.9301214,-87.6998944,"(41.9301214, -87.6998944)",1,23,22535,548,40,15,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Douglas Park Baptist Church,1838-46 S KEDZIE AVE,,Emergency Food Assistance,,S,KEDZIE,AVE,,Chicago,IL,60623,773 7620611,,24,NORTH LAWNDALE,29,1155276.103,1890950.754,41.8565737,-87.7055369,"(41.8565737, -87.7055369)",57,30,21569,202,14,36,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Resurrection UMC,5717 W 63RD PL,,Emergency Food Assistance,5717,W,63RD,PL,,Chicago,IL,60638,773 5855198,,13,CLEARING,64,1139308.2,1861810.655,41.776914,-87.764856,"(41.776914, -87.764856)",7,62,22268,266,15,23,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Marillac House Food Pantry,2859 W JACKSON BLVD,,Emergency Food Assistance,2859,W,JACKSON,BLVD,,Chicago,IL,60612,773 5843244,,27,EAST GARFIELD PARK,27,1157118.152,1898517.226,41.8772997,-87.6985702,"(41.8772997, -87.6985702)",28,28,21184,51,46,48,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Healing Temple COGIC #1 Pantry,4941 W CHICAGO AVE,,Emergency Food Assistance,4941,W,CHICAGO,AVE,,Chicago,IL,60651,773 6269454,,37,AUSTIN,25,1143096.241,1904817.733,41.8948621,-87.749898,"(41.8948621, -87.749898)",32,26,4299,694,45,4,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. James Catholic Church,2907 S WABASH AVE,,Emergency Food Assistance,2907,S,WABASH,AVE,,Chicago,IL,60616,312 8421919,211,3,DOUGLAS,35,1177238.405,1885698.735,41.8416928,-87.6250831,"(41.8416928, -87.6250831)",40,1,21194,191,9,48,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Chosen Tabernacle Full Gospel,4310 S CHAMPLAIN AVE,,Emergency Food Assistance,4310,S,CHAMPLAIN,AVE,,Chicago,IL,60653,8888349414,,4,GRAND BOULEVARD,38,1181276.277,1876506.393,41.816376,-87.6105494,"(41.816376, -87.6105494)",36,4,4301,161,10,1,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Oakdale Covenant Church,9440 S VINCENNES AVE,,Emergency Food Assistance,9440,S,VINCENNES,AVE,,Chicago,IL,60620,773 7799440,3,21,WASHINGTON HEIGHTS,73,1170642.655,1842041.938,41.7220401,-87.6505593,"(41.7220401, -87.6505593)",59,72,21554,151,13,18,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Amazing Grace Resources,1511 N LONG AVE,,Emergency Food Assistance,1511,N,LONG,AVE,,Chicago,IL,60651,773 6999091,,37,AUSTIN,25,1140112.73,1909584.798,41.9079986,-87.7607389,"(41.9079986, -87.7607389)",5,26,4299,599,45,4,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Evening Star MBC,2050 W 59TH ST,,Emergency Food Assistance,2050,W,59TH,ST,,Chicago,IL,60636,7739256160,,15,WEST ENGLEWOOD,67,1163483.771,1865553.675,41.7867126,-87.6761234,"(41.7867126, -87.6761234)",23,65,22257,274,3,44,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,True Vine of Holiness Church,400 E 111TH ST,,Emergency Food Assistance,400,E,111TH,ST,,Chicago,IL,60628,773 9951004,,9,ROSELAND,49,1180898.475,1831487.488,41.692848,-87.6133173,"(41.692848, -87.6133173)",19,45,21861,237,43,30,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Sylvester Parish,2915 W PALMER ST,,Emergency Food Assistance,2915,W,PALMER,ST,,Chicago,IL,60647,773 2353646,,1,LOGAN SQUARE,22,1156377.84,1914636.377,41.9215471,-87.7008521,"(41.9215471, -87.7008521)",1,23,22535,322,41,15,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Cyprian Food Pantry,6535 W IRVING PARK RD,,Emergency Food Assistance,6535,W,IRVING PARK,RD,,Chicago,IL,60634,773 2839178,,38,DUNNING,17,1131934.447,1925836.204,41.9527403,-87.7904042,"(41.9527403, -87.7904042)",52,17,22254,444,19,25,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Greater St. John AME Church,6201 S THROOP ST,,Emergency Food Assistance,6201,S,THROOP,ST,,Chicago,IL,60636,773 9252262,63,16,WEST ENGLEWOOD,67,1168731.508,1863598.198,41.7812348,-87.6569388,"(41.7812348, -87.6569388)",23,65,22257,278,2,19,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
